onL,offL,onR,offR
205.141,205.4005,204.81,205.066
205.808,206.072,205.4755,205.732
206.4715,206.737,206.1385,206.398
207.145,207.4145,206.8055,207.0635
207.817,208.0825,207.477,207.737
208.482,208.7495,208.153,208.41
209.1545,209.418,208.8195,209.07
209.8175,210.0835,209.48,209.742
210.486,210.75,210.1515,210.4085
211.149,211.4155,210.8145,211.0735
211.8125,212.0755,211.4845,211.7355
212.472,212.7275,212.141,212.3975
213.1345,213.397,212.801,213.0525
213.786,214.05,213.4625,213.7175
NaN,NaN,214.119,NaN
